id,quarter,ann_time,t0,source_pdf,TariffMentions_call_all,TariffSent_mean_call_all,TariffSent_shareNeg_call_all,TariffSent_fwd_call_all,TariffMentions_call_prep,TariffSent_mean_call_prep,TariffSent_shareNeg_call_prep,TariffSent_fwd_call_prep,TariffMentions_call_qna,TariffSent_mean_call_qna,TariffSent_shareNeg_call_qna,TariffSent_fwd_call_qna
AXP,2024Q1,2024-01-26 13:30:00+00:00,2024-01-26,"American Express Company, Q4 2023 Earnings Call, Jan 26, 2024.pdf",0,,,,0,,,,0,,,
,2025Q1,2025-02-13 14:00:00+00:00,2025-02-13,"American Electric Power Company, Inc., Q4 2024 Earnings Call, Feb 13, 2025.pdf",15,0.13333333333333333,0.06666666666666667,,3,0.6666666666666666,0.0,,12,0.0,0.08333333333333333,
,2025Q2,2025-05-01 13:00:00+00:00,2025-05-01,"American Water Works Company, Inc., Q1 2025 Earnings Call, May 01, 2025.pdf",5,-0.2,0.2,0.0,5,-0.2,0.2,0.0,0,,,
,2025Q2,2025-05-02 12:30:00+00:00,2025-05-02,"American International Group, Inc., Q1 2025 Earnings Call, May 02, 2025.pdf",6,-0.16666666666666666,0.16666666666666666,0.0,5,-0.2,0.2,0.0,1,0.0,0.0,
,2025Q3,2025-07-24 14:00:00+00:00,2025-07-24,"Ameriprise Financial, Inc., Q2 2025 Earnings Call, Jul 24, 2025.pdf",2,-1.0,1.0,,1,-1.0,1.0,,1,-1.0,1.0,
,2024Q1,2024-01-25 14:00:00+00:00,2024-01-25,"Ameriprise Financial, Inc., Q4 2023 Earnings Call, Jan 25, 2024.pdf",0,,,,0,,,,0,,,
AMT,2025Q3,2025-07-29 12:30:00+00:00,2025-07-29,"American Tower Corporation, Q2 2025 Earnings Call, Jul 29, 2025.pdf",1,0.0,0.0,,0,,,,1,0.0,0.0,
AMT,2025Q2,2025-04-29 12:30:00+00:00,2025-04-29,"American Tower Corporation, Q1 2025 Earnings Call, Apr 29, 2025.pdf",2,0.0,0.0,,0,,,,2,0.0,0.0,
AMT,2025Q1,2025-02-25 13:30:00+00:00,2025-02-25,"American Tower Corporation, Q4 2024 Earnings Call, Feb 25, 2025.pdf",0,,,,0,,,,0,,,
,2025Q2,2025-05-01 20:30:00+00:00,2025-05-02,"Amgen Inc., Q1 2025 Earnings Call, May 01, 2025.pdf",6,-0.16666666666666666,0.16666666666666666,0.0,6,-0.16666666666666666,0.16666666666666666,0.0,0,,,
APH,2025Q3,2025-07-23 17:00:00+00:00,2025-07-24,"Amphenol Corporation, Q2 2025 Earnings Call, Jul 23, 2025.pdf",2,1.0,0.0,,0,,,,2,1.0,0.0,
APH,2025Q2,2025-04-23 17:00:00+00:00,2025-04-24,"Amphenol Corporation, Q1 2025 Earnings Call, Apr 23, 2025.pdf",21,-0.09523809523809523,0.14285714285714285,,0,,,,21,-0.09523809523809523,0.14285714285714285,
,2025Q3,2025-08-20 14:00:00+00:00,2025-08-20,"Analog Devices, Inc., Q3 2025 Earnings Call, Aug 20, 2025.pdf",3,-0.6666666666666666,0.6666666666666666,,1,0.0,0.0,,2,-1.0,1.0,
,2024Q1,2024-02-06 21:30:00+00:00,2024-02-07,"Amgen Inc., Q4 2023 Earnings Call, Feb 06, 2024.pdf",0,,,,0,,,,0,,,
APH,2024Q1,2024-01-24 18:00:00+00:00,2024-01-25,"Amphenol Corporation, Q4 2023 Earnings Call, Jan 24, 2024.pdf",0,,,,0,,,,0,,,
AON,2025Q2,2025-04-25 12:30:00+00:00,2025-04-25,"Aon plc, Q1 2025 Earnings Call, Apr 25, 2025.pdf",3,-0.3333333333333333,0.3333333333333333,,2,-0.5,0.5,,1,0.0,0.0,
APH,2025Q1,2025-01-22 18:00:00+00:00,2025-01-23,"Amphenol Corporation, Q4 2024 Earnings Call, Jan 22, 2025.pdf",8,0.125,0.0,,0,,,,8,0.125,0.0,
AON,2025Q3,2025-07-25 12:30:00+00:00,2025-07-25,"Aon plc, Q2 2025 Earnings Call, Jul 25, 2025.pdf",1,0.0,0.0,,1,0.0,0.0,,0,,,
,2024Q1,2024-02-01 22:00:00+00:00,2024-02-02,"Apple Inc., Q1 2024 Earnings Call, Feb 01, 2024.pdf",0,,,,0,,,,0,,,
,2025Q2,2025-05-01 21:00:00+00:00,2025-05-02,"Apple Inc., Q2 2025 Earnings Call, May 01, 2025.pdf",25,-0.2,0.28,-1.0,7,0.0,0.2857142857142857,-1.0,18,-0.2777777777777778,0.2777777777777778,-1.0
,2025Q1,2025-01-30 22:00:00+00:00,2025-01-31,"Apple Inc., Q1 2025 Earnings Call, Jan 30, 2025.pdf",1,0.0,0.0,,0,,,,1,0.0,0.0,
,2025Q2,2025-05-02 12:30:00+00:00,2025-05-02,"Apollo Global Management, Inc., Q1 2025 Earnings Call, May 02, 2025.pdf",2,0.0,0.0,,2,0.0,0.0,,0,,,
AON,2024Q1,2024-02-02 13:30:00+00:00,2024-02-02,"Aon plc, Q4 2023 Earnings Call, Feb 02, 2024.pdf",0,,,,0,,,,0,,,
,2024Q4,2024-10-31 21:00:00+00:00,2024-11-01,"Apple Inc., Q4 2024 Earnings Call, Oct 31, 2024.pdf",1,0.0,0.0,,0,,,,1,0.0,0.0,
,2025Q3,2025-07-31 21:00:00+00:00,2025-08-01,"Apple Inc., Q3 2025 Earnings Call, Jul 31, 2025.pdf",21,-0.09523809523809523,0.09523809523809523,-0.5,9,-0.1111111111111111,0.1111111111111111,-0.5,12,-0.08333333333333333,0.08333333333333333,
,2025Q1,2025-02-13 21:30:00+00:00,2025-02-14,"Applied Materials, Inc., Q1 2025 Earnings Call, Feb 13, 2025.pdf",0,,,,0,,,,0,,,
,2025Q3,2025-08-14 20:30:00+00:00,2025-08-15,"Applied Materials, Inc., Q3 2025 Earnings Call, Aug 14, 2025.pdf",4,0.25,0.0,,2,0.5,0.0,,2,0.0,0.0,
APTV,2025Q2,2025-05-01 12:00:00+00:00,2025-05-01,"Aptiv PLC, Q1 2025 Earnings Call, May 01, 2025.pdf",28,0.07142857142857142,0.10714285714285714,0.3,8,0.5,0.0,0.6666666666666666,19,-0.15789473684210525,0.15789473684210525,-0.25
APTV,2025Q3,2025-07-31 12:00:00+00:00,2025-07-31,"Aptiv PLC, Q2 2025 Earnings Call, Jul 31, 2025.pdf",14,0.0,0.07142857142857142,0.0,2,0.0,0.0,0.0,11,-0.09090909090909091,0.09090909090909091,0.0
APTV,2024Q4,2024-10-31 12:00:00+00:00,2024-10-31,"Aptiv PLC, Q3 2024 Earnings Call, Oct 31, 2024.pdf",8,-0.125,0.25,,0,,,,7,-0.2857142857142857,0.2857142857142857,
APTV,2025Q1,2025-02-06 13:00:00+00:00,2025-02-06,"Aptiv PLC, Q4 2024 Earnings Call, Feb 06, 2025.pdf",14,0.0,0.14285714285714285,-0.3333333333333333,4,0.25,0.0,0.0,9,-0.2222222222222222,0.2222222222222222,-1.0
,2025Q2,2025-04-30 13:00:00+00:00,2025-04-30,"Arch Capital Group Ltd., Q1 2025 Earnings Call, Apr 30, 2025.pdf",4,-0.08333333333333333,0.25,,2,0.0,0.0,,2,-0.16666666666666666,0.5,
APTV,2024Q1,2024-01-31 13:00:00+00:00,2024-01-31,"Aptiv PLC, Q4 2023 Earnings Call, Jan 31, 2024.pdf",5,0.0,0.2,,0,,,,4,-0.25,0.25,
ADM,2025Q1,2025-02-04 15:00:00+00:00,2025-02-04,"Archer-Daniels-Midland Company, Q4 2024 Earnings Call, Feb 04, 2025.pdf",6,-0.5,0.5,-0.5,0,,,,6,-0.5,0.5,-0.5
AJG,2025Q2,2025-05-01 21:30:00+00:00,2025-05-02,"Arthur J. Gallagher  Co., Q1 2025 Earnings Call, May 01, 2025.pdf",3,-0.3333333333333333,0.3333333333333333,,1,0.0,0.0,,2,-0.5,0.5,
ATO,2024Q1,2024-02-07 14:00:00+00:00,2024-02-07,"Atmos Energy Corporation, Q1 2024 Earnings Call, Feb 07, 2024.pdf",1,0.0,0.0,,0,,,,1,0.0,0.0,
AJG,2025Q3,2025-07-31 21:15:00+00:00,2025-08-01,"Arthur J. Gallagher  Co., Q2 2025 Earnings Call, Jul 31, 2025.pdf",1,-1.0,1.0,,1,-1.0,1.0,,0,,,
ATO,2025Q1,2025-02-05 14:00:00+00:00,2025-02-05,"Atmos Energy Corporation, Q1 2025 Earnings Call, Feb 05, 2025.pdf",2,-0.5,0.5,,0,,,,2,-0.5,0.5,
ATO,2025Q2,2025-05-08 14:00:00+00:00,2025-05-08,"Atmos Energy Corporation, Q2 2025 Earnings Call, May 08, 2025.pdf",2,0.0,0.0,,1,0.0,0.0,,1,0.0,0.0,
,2024Q1,2024-02-07 13:00:00+00:00,2024-02-07,"Assurant, Inc., Q4 2023 Earnings Call, Feb 07, 2024.pdf",0,,,,0,,,,0,,,
AJG,2024Q1,2024-01-25 22:15:00+00:00,2024-01-26,"Arthur J. Gallagher  Co., Q4 2023 Earnings Call, Jan 25, 2024.pdf",0,,,,0,,,,0,,,
,2025Q3,2025-09-23 14:00:00+00:00,2025-09-23,"AutoZone, Inc., Q4 2025 Earnings Call, Sep 23, 2025.pdf",14,-0.07142857142857142,0.07142857142857142,0.0,1,0.0,0.0,0.0,13,-0.07692307692307693,0.07692307692307693,0.0
,2025Q2,2025-04-30 12:30:00+00:00,2025-04-30,"Automatic Data Processing, Inc., Q3 2025 Earnings Call, Apr 30, 2025.pdf",2,-0.5,0.5,,0,,,,2,-0.5,0.5,
