date,mktrf,smb,hml,rmw,cma,rf
2022-09-14,0.0044,-0.0018,-0.0032,-0.0078,-0.0052,9e-05
2022-09-15,-0.0104,0.0039,0.0061,-0.0033,0.0025,9e-05
2022-09-16,-0.0098,-0.0075,0.0086,0.0171,0.0095,9e-05
2022-09-19,0.0072,-0.0009,0.0068,0.0063,-0.0006,9e-05
2022-09-20,-0.0115,-0.0029,0.0003,-0.0012,0.0033,9e-05
2022-09-21,-0.0168,0.0035,0.0006,0.0038,0.0012,9e-05
2022-09-22,-0.0114,-0.0114,0.0044,0.0114,0.0102,9e-05
2022-09-23,-0.0185,-0.0046,-0.008,0.0019,-0.0018,9e-05
2022-09-26,-0.0102,-0.0004,-0.0075,0.0016,-0.0044,9e-05
2022-09-27,-0.0005,0.0058,-0.0097,-0.0065,-0.0092,9e-05
2022-09-28,0.0214,0.009,-0.0036,-0.0087,-0.0082,9e-05
2022-09-29,-0.0216,-0.0029,0.0092,0.0043,0.0055,9e-05
2022-09-30,-0.0143,0.0057,0.0027,-0.0066,-0.0012,9e-05
2022-10-03,0.0256,0.0,0.007,0.0089,0.0043,0.00011
2022-10-04,0.033,0.0074,-0.0009,-0.0097,-0.0039,0.00011
2022-10-05,-0.0021,-0.0037,0.0005,0.0034,0.0014,0.00011
2022-10-06,-0.0085,0.0045,0.0012,-0.0013,-0.0051,0.00011
2022-10-07,-0.029,-0.0022,0.0168,0.0093,0.0157,0.00011
2022-10-10,-0.008,0.0024,0.0076,0.0154,0.0044,0.00011
2022-10-11,-0.007,0.0062,0.0033,0.0057,0.0061,0.00011
2022-10-12,-0.0027,0.0002,0.0004,0.0001,0.0003,0.00011
2022-10-13,0.0241,-0.0024,0.0157,0.0065,0.0093,0.00011
2022-10-14,-0.0246,-0.0018,0.0123,0.0055,0.0173,0.00011
2022-10-17,0.0274,0.0035,-0.0141,-0.0097,-0.0129,0.00011
2022-10-18,0.0119,-0.0013,-0.0002,-0.0041,0.0002,0.00011
2022-10-19,-0.0087,-0.0118,0.0119,0.0071,0.0081,0.00011
2022-10-20,-0.008,-0.0032,-0.0045,-0.0061,0.0013,0.00011
2022-10-21,0.023,-0.0007,0.0009,0.0068,-0.003,0.00011
2022-10-24,0.0104,-0.0061,0.0047,0.0114,0.0054,0.00011
2022-10-25,0.0178,0.0101,-0.0153,-0.0122,-0.0134,0.00011
2022-10-26,-0.0066,0.007,0.009,-0.0073,0.0069,0.00011
2022-10-27,-0.0054,0.0044,0.0108,-0.003,0.0047,0.00011
2022-10-28,0.0233,0.0009,-0.0034,0.004,0.0066,0.00011
2022-10-31,-0.0068,0.0046,0.0073,-0.0022,0.0044,0.00011
2022-11-01,-0.0035,0.0045,0.008,0.0002,0.0054,0.00014
2022-11-02,-0.0267,-0.0084,0.016,0.0031,0.0116,0.00014
2022-11-03,-0.0103,0.0039,0.0028,-0.0004,0.0004,0.00014
2022-11-04,0.0116,-0.0025,0.0128,0.0233,0.0065,0.00014
2022-11-07,0.0087,-0.0033,0.006,0.011,0.0101,0.00014
2022-11-08,0.0051,-0.0053,-0.004,-0.0016,0.0005,0.00014
2022-11-09,-0.0224,-0.0049,0.0055,0.0096,0.0123,0.00014
2022-11-10,0.0568,0.0096,-0.031,-0.0064,-0.0292,0.00014
2022-11-11,0.0106,0.0014,-0.0105,-0.009,-0.0122,0.00014
2022-11-14,-0.0095,-0.0023,0.0036,0.0057,0.0054,0.00014
2022-11-15,0.0103,0.0043,-0.0073,-0.0049,-0.0054,0.00014
2022-11-16,-0.0102,-0.0107,0.0058,0.0116,0.0095,0.00014
2022-11-17,-0.0042,-0.0027,0.0056,0.0136,0.0081,0.00014
2022-11-18,0.004,-0.0009,0.0011,0.0038,0.0071,0.00014
2022-11-21,-0.0052,-0.002,0.0099,0.005,0.0114,0.00014
2022-11-22,0.0136,-0.0038,0.0044,0.0078,-0.0023,0.00014
2022-11-23,0.0063,-0.0025,-0.0093,-0.0073,-0.0062,0.00014
2022-11-25,-0.0003,0.0028,0.0043,-0.0017,0.0013,0.00014
2022-11-28,-0.0155,-0.0049,-0.0019,0.0026,0.0029,0.00014
2022-11-29,-0.0019,0.0035,0.0104,0.0021,0.0051,0.00014
2022-11-30,0.0312,-0.0015,-0.0208,-0.0077,-0.0147,0.00014
2022-12-01,-0.0002,0.0004,-0.0069,-0.0034,-0.0036,0.00016
2022-12-02,-0.0008,0.0084,-0.0056,-0.004,0.0026,0.00016
2022-12-05,-0.0202,-0.0053,-0.0054,0.0087,0.011,0.00016
