ticker,quarter,m01p01,0p1,0p2
BMY,2024Q1,-0.0024433529313041234,,
BMY,2024Q2,-0.08230798505360434,-0.0809530761420511,-0.0809530761420511
BMY,2024Q3,0.12516706096064972,,
BMY,2024Q4,0.037360895247249656,0.03772884463695832,0.03772884463695832
BMY,2025Q1,,,
BMY,2025Q2,,,
BMY,2025Q3,,,
BR,2023Q4,-0.02369705344788524,-0.009436313601853383,-0.009436313601853383
BR,2024Q1,-0.03769551033251318,-0.026389670499251908,-0.026389670499251908
BR,2024Q2,-0.03950921374097707,-0.04502177284815066,-0.03243607175011694
BR,2024Q3,0.015525157351988672,0.02057141173875761,0.016748102721342747
BR,2024Q4,0.00658154277781,0.007032584232876636,0.01811493842662029
BR,2025Q1,,,
BR,2025Q2,,,
BR,2025Q3,,,
BRO,2023Q4,0.028247350157189505,0.028247350157189505,0.03313871122226053
BRO,2024Q1,-0.011198506774138455,,
BRO,2024Q2,-0.0004680706668117665,-0.0004680706668117665,-0.009572506998431908
BRO,2024Q3,0.043177960710943875,0.043177960710943875,0.06726977459179653
BRO,2024Q4,0.0074472208769101374,0.0074472208769101374,0.012859004290661695
BRO,2025Q1,,,
BRO,2025Q2,,,
BRO,2025Q3,,,
BSX,2023Q4,0.004842222342610402,0.011118389477282938,0.011118389477282938
BSX,2024Q1,0.049254356718857834,0.04511532230890934,0.03999152163601244
BSX,2024Q2,0.07401500702318205,0.06322085923690261,0.05328710480410641
BSX,2024Q3,-0.026699874436261057,-0.03233267849082611,-0.030651735112413515
BSX,2024Q4,-0.03554861948510644,-0.0327523218661119,-0.03913424958555914
BSX,2025Q1,,,
BSX,2025Q2,,,
BSX,2025Q3,,,
BX,2023Q4,-0.046664176514500326,-0.04423237112516248,-0.04423237112516248
BX,2024Q1,0.03419684157323419,0.020321665615169043,0.020321665615169043
BX,2024Q2,-0.03874264443346856,-0.05164005202422359,-0.05164005202422359
BX,2024Q3,0.04701344876648518,0.0608625614439576,0.0608625614439576
BX,2024Q4,0.08186801000311981,0.07732443129015487,0.07732443129015487
BX,2025Q1,,,
BX,2025Q2,,,
BX,2025Q3,,,
BXP,2023Q4,-0.02815213666523591,-0.016596886243204222,-0.004134796203938664
BXP,2024Q1,-0.04834028541410489,-0.04993550191324678,-0.06894470157331864
BXP,2024Q2,-0.00783703503280303,-0.029429871222660685,-0.03016865357664072
BXP,2024Q3,0.0012347386238450025,-0.02470942613437068,0.015502738327946727
BXP,2024Q4,-0.06477674885154305,-0.050481200493261734,-0.06186022832344483
BXP,2025Q1,,,
BXP,2025Q2,,,
BXP,2025Q3,,,
C,2023Q4,,,
C,2024Q1,,,
C,2024Q2,,,
C,2024Q3,,,
C,2024Q4,-0.03386669231731088,-0.0333419606687751,-0.037458418780559784
C,2025Q1,,,
C,2025Q2,,,
C,2025Q3,,,
CAG,2023Q4,-0.006121806657324603,-0.0035853748803603685,-0.0035853748803603685
CAG,2024Q1,-0.03941109985769034,-0.03606041689672862,-0.03606041689672862
CAG,2024Q2,0.0675125072191146,0.0808804967104089,0.0808804967104089
CAG,2024Q3,-0.018047022207400797,-0.010798892889520828,-0.010798892889520828
CAG,2024Q4,-0.03167473975831538,-0.009759233375224552,-0.009759233375224552
CAG,2025Q2,,,
CAG,2025Q3,,,
CAH,2023Q4,0.04272213147345556,,
CAH,2024Q1,-0.044978761328603255,-0.0656815401349869,-0.0656815401349869
CAH,2024Q2,-0.036850791468382806,-0.030034751162221533,-0.030034751162221533
CAH,2024Q3,0.056754271237800274,0.04528409948518256,0.061376685216707055
CAH,2024Q4,0.07852395988749845,,
CAH,2025Q1,,,
